Clusters with these selected links will be removed	
From 	To
Talk_show	E-mail
Talk_show	Unidentified_flying_object
Germany	Law
Germany	Mountain
Germany	English_language
Germany	Tennis
Association_football	Male
Michael_Jackson	Pepsi
Michael_Jackson	PlayStation_Portable
Steve_Jobs	Adoption
Titanic_(1997_movie)	Mood
Titanic_(1997_movie)	Dozen
Titanic_(1997_movie)	Common_cold
Titanic_(1997_movie)	China
Love	Stress_(biology)
Honey	Evil
John_Lennon	Deadline
John_Lennon	Contract
Apple	Star
Apple	Ship
Apple	Grave
Beer	Bread
Mars	Blood
Mars	Bacteria
Blue	Lip
Euro	1999
Pizza	World_War_II
Telephone	2_(number)
Acceleration	Negative_number
New_York_City	Snow
Prime_number	Area
Chocolate	Health
Chocolate	Dog
Milk	Tooth
Bone	Giraffe
Jet_lag	Tea
Programming_language	Mathematics
Mathematics	Beauty
Beauty	Story
Cancer	Vegetable
Chicken	Female
Chicken	Illegal
Hydrogen	Greek_language
Hydrogen	Steam
Outer_space	Collision
Electron	Distribution
Music	Behavior
Bat	Hand
Chess	Eight
Chess	Tobacco
Watch	Nurse
Mona_Lisa	Apartment
Leonardo_da_Vinci	Helicopter
Leonardo_da_Vinci	Lawyer
Australia	Animals
Australia	Plant
Google	News
Google	Dictionary
Google	Calendar
Air	Color
Air	Odor
Air	Weight
Albert_Einstein	University
Albert_Einstein	Peace
Albert_Einstein	Religion
Jackie_Chan	Ground
Jackie_Chan	Comedy
January	Door
September	School
December	Sun
Ultraviolet	Bird
Ozone	Lung
	
	
Remaining links to check if exist anymore or not	
Talk_show	Disaster
Germany	Ice_age
Germany	Islam
Association_football	Female
Michael_Jackson	Lung
Titanic_(1997_movie)	Rubber
Titanic_(1997_movie)	Vomit
Titanic_(1997_movie)	Conversion
Honey	Wine
Titanic_(1997_movie)	Songwriter
John_Lennon	1990
John_Lennon	Prayer
Apple	Ancestor
Apple	Knife
Apple	DNA
Euro	2004
Albert_Einstein	Citizen
Albert_Einstein	Light
Albert_Einstein	Politics
January	Gate
Leonardo_da_Vinci	Man
Leonardo_da_Vinci	Calculator
Chess	Electronics
Chess	Writing
Music	Cave
Jet_lag	Coffee
Titanic_(1997_movie)	Symptom
Titanic_(1997_movie)	Poison
Bone	Floor
Watch	Uniform
Electron	Ancient_Greece
Music	Cooking
Germany	Passport
